Month,Date,Destination,Category,Origin,Destination_Long,Destination_Lat,Origin_Long,Origin_Lat,Distance,Transportation Cost,Entry Cost,Average Price,Horse Drain
7,21.07.2022,Zeltweg-Farrach,CSN-A*,Zwentendorf,14.7311095,47.190871,16.4330201,48.6106026,263.9144,293.7367272,250,500,-25
7,22.07.2022,Stadl Paura,CSN-A*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,250,500,-25
8,04.08.2022,Kammer-Schörfling,CSN-A*,Zwentendorf,13.5962583,47.9485339,16.4330201,48.6106026,283.4475,315.4770675,250,500,-25
8,12.08.2022,Ranshofen,CSN-A*,Zwentendorf,13.0148774,48.2351825,16.4330201,48.6106026,330.5409,367.89202170000004,250,500,-25
8,18.08.2022,Wiener Neustadt - Lake Arena,CSN-A*,Zwentendorf,16.197661794629084,47.8197349,16.4330201,48.6106026,117.1967,130.4399271,250,500,-25
9,02.09.2022,Preding,CSN-A*,Zwentendorf,15.4064066,46.858903,16.4330201,48.6106026,281.149,312.918837,250,500,-25
9,09.09.2022,Linz-Ebelsberg,CSN-A*,Zwentendorf,14.3471044,48.2519744,16.4330201,48.6106026,215.8538,240.24527940000002,250,500,-25
9,22.09.2022,Lamprechtshausen,CSN-A*,Zwentendorf,12.9554913,47.9926148,16.4330201,48.6106026,359.9878,400.6664214,250,500,-25
10,07.10.2022,Ranshofen,CSN-A*,Zwentendorf,13.0148774,48.2351825,16.4330201,48.6106026,330.5409,367.89202170000004,250,500,-25
10,13.10.2022,Wiener Neustadt - Lake Arena,CSN-A*,Zwentendorf,16.197661794629084,47.8197349,16.4330201,48.6106026,117.1967,130.4399271,250,500,-25
10,28.10.2022,Linz-Ebelsberg,CSN-A*,Zwentendorf,14.3471044,48.2519744,16.4330201,48.6106026,215.8538,240.24527940000002,250,500,-25
12,02.12.2022,Stadl Paura,CSN-A*,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,250,500,-25
4,09.04.2022,Bregenz,CSN-B,Zwentendorf,9.7472924,47.5025779,16.4330201,48.6106026,640.3364,712.6944132,200,100,-15
4,29.04.2022,Hetzmannsdorf,CSN-B,Zwentendorf,12.5266104,49.3525215,16.4330201,48.6106026,456.0788,507.61570439999997,200,100,-15
5,27.05.2022,Lassee,CSN-B,Zwentendorf,16.818069652199092,48.23776205,16.4330201,48.6106026,63.1059,70.2368667,200,100,-15
5,27.05.2022,Tillmitsch,CSN-B,Zwentendorf,15.516150159301873,46.81006995,16.4330201,48.6106026,283.147,315.142611,200,100,-15
6,10.06.2022,Deutschlandsberg,CSN-B,Zwentendorf,15.2137799,46.8146272,16.4330201,48.6106026,290.7883,323.6473779,200,100,-15
7,01.07.2022,Wien-Freudenau/ASKÖ,CSN-B,Zwentendorf,16.43952420907361,48.1908448,16.4330201,48.6106026,65.6442,73.06199459999999,200,100,-15
7,08.07.2022,Seewalchen,CSN-B,Zwentendorf,13.1351423,47.9045768,16.4330201,48.6106026,337.6325,375.7849725,200,100,-15
9,01.09.2022,Viechtwang,CSN-B,Zwentendorf,13.9633664,47.9152987,16.4330201,48.6106026,268.2232,298.5324216,200,100,-15
9,10.09.2022,Kuchl-Georgenberg,CSN-B,Zwentendorf,13.1561436,47.6201586,16.4330201,48.6106026,370.1962,412.02837059999996,200,100,-15
4,14.04.2022,Linz-Ebelsberg,CSI3*,Zwentendorf,14.3471044,48.2519744,16.4330201,48.6106026,215.8538,240.24527940000002,450,1000,-30
7,05.07.2022,Wiener Neustadt - Lake Arena,CSI3*,Zwentendorf,16.197661794629084,47.8197349,16.4330201,48.6106026,117.1967,130.4399271,450,1000,-30
4,15.04.2022,Ebreichsdorf,CSN-A,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,250,500,-25
6,10.06.2022,Ebreichsdorf,CSN-A,Zwentendorf,16.39163215125545,47.96611095,16.4330201,48.6106026,98.7359,109.8930567,250,500,-25
6,24.06.2022,Stadl Paura,CSN-A,Zwentendorf,13.8694007,48.0838623,16.4330201,48.6106026,258.7631,288.0033303,250,500,-25
8,11.08.2022,Horitschon,CSN-A,Zwentendorf,16.54783845015961,47.5848329,16.4330201,48.6106026,161.1224,179.3292312,250,500,-25
8,25.08.2022,Gniebing-Feldbach,CSN-A,Zwentendorf,15.8534965,46.9632345,16.4330201,48.6106026,236.432,263.148816,250,500,-25
12,08.12.2022,Salzburg Arena/Messezentrum,CSI4*,Zwentendorf,13.027938190578512,47.8253461,16.4330201,48.6106026,339.7445,378.1356285,450,2000,-40
